年代,演者,審査員,val,val_z
3,2丁拳銃,島田洋七,95,1.12
3,りあるキッズ,島田洋七,93,0.84
3,スピードワゴン,島田洋七,85,-0.28
3,アメリカザリガニ,島田洋七,90,0.42
3,麒麟,島田洋七,84,-0.43
3,千鳥,島田洋七,75,-1.69
2,ますだおかだ,島田洋七,96,1.26
2,フットボールアワー,島田洋七,94,0.98
2,笑い飯,島田洋七,84,-0.43
2,おぎやはぎ,島田洋七,85,-0.28
2,ハリガネロック,島田洋七,86,-0.14
2,テツandトモ,島田洋七,79,-1.13
2,スピードワゴン,島田洋七,86,-0.14
2,ダイノジ,島田洋七,81,-0.85
2,アメリカザリガニ,島田洋七,83,-0.57
4,アンタッチャブル,西川きよし,97,1.4
4,南海キャンディーズ,西川きよし,90,0.42
4,麒麟,西川きよし,89,0.28
4,タカアンドトシ,西川きよし,86,-0.14
4,笑い飯,西川きよし,84,-0.43
4,POISON GIRL BAND,西川きよし,87,0
4,トータルテンボス,西川きよし,80,-0.99
4,東京ダイナマイト,西川きよし,82,-0.71
4,千鳥,西川きよし,83,-0.57
1,中川家,西川きよし,91,0.56
1,ハリガネロック,西川きよし,95,1.12
1,アメリカザリガニ,西川きよし,88,0.14
1,ますだおかだ,西川きよし,95,1.12
1,麒麟,西川きよし,79,-1.13
1,フットボールアワー,西川きよし,90,0.42
1,キングコング,西川きよし,80,-0.99
1,チュートリアル,西川きよし,80,-0.99
1,DonDokoDon,西川きよし,75,-1.69
1,おぎやはぎ,西川きよし,77,-1.41
2,ますだおかだ,立川談志,80,-0.99
2,フットボールアワー,立川談志,70,-2.39
2,笑い飯,立川談志,70,-2.39
2,おぎやはぎ,立川談志,80,-0.99
2,ハリガネロック,立川談志,70,-2.39
2,テツandトモ,立川談志,70,-2.39
2,スピードワゴン,立川談志,50,-5.19
2,ダイノジ,立川談志,70,-2.39
2,アメリカザリガニ,立川談志,70,-2.39
1,中川家,鴻上尚史,85,-0.28
1,ハリガネロック,鴻上尚史,85,-0.28
1,アメリカザリガニ,鴻上尚史,84,-0.43
1,ますだおかだ,鴻上尚史,84,-0.43
1,麒麟,鴻上尚史,83,-0.57
1,フットボールアワー,鴻上尚史,82,-0.71
1,キングコング,鴻上尚史,83,-0.57
1,チュートリアル,鴻上尚史,75,-1.69
1,DonDokoDon,鴻上尚史,84,-0.43
1,おぎやはぎ,鴻上尚史,73,-1.97
1,中川家,青島幸男,90,0.42
1,ハリガネロック,青島幸男,90,0.42
1,アメリカザリガニ,青島幸男,85,-0.28
1,ますだおかだ,青島幸男,80,-0.99
1,麒麟,青島幸男,75,-1.69
1,フットボールアワー,青島幸男,80,-0.99
1,キングコング,青島幸男,75,-1.69
1,チュートリアル,青島幸男,75,-1.69
1,DonDokoDon,青島幸男,85,-0.28
1,おぎやはぎ,青島幸男,80,-0.99
