no,sex,age,p1,p2,p3,p4,p5,p6,p7,y
145,1,52,0,0,1,0,1,1,1,4
146,1,43,0,1,1,0,1,1,0,4
147,1,31,1,1,1,0,1,1,0,5
148,1,59,1,1,1,1,1,1,1,7
149,1,50,1,1,1,0,1,1,1,6
150,2,44,0,1,1,1,0,1,1,5
151,2,47,1,1,1,1,1,1,0,6
152,1,47,0,0,1,0,0,1,1,3
153,1,48,1,1,1,0,1,1,1,6
154,1,47,1,1,1,0,1,1,1,6
155,1,58,0,1,0,0,0,1,0,2
156,1,29,0,0,1,0,0,1,0,2
157,1,59,0,0,1,0,1,1,1,4
158,1,59,0,1,1,1,1,1,1,6
159,1,32,1,1,0,1,0,1,0,4
160,1,50,0,1,1,0,1,1,1,5
161,1,31,1,0,1,0,0,1,0,3
162,1,24,0,0,1,0,1,1,0,3
163,1,52,0,0,1,0,0,1,1,3
164,1,50,1,1,1,1,1,1,0,6
165,2,32,1,1,1,1,1,0,1,6
166,2,39,0,1,1,0,1,1,0,4
167,2,46,0,0,1,0,0,0,0,1
168,1,27,0,0,1,0,0,1,0,2
169,1,25,1,1,1,0,1,1,1,6
170,1,58,0,0,1,0,1,1,0,3
171,2,35,1,1,1,1,1,1,0,6
172,1,20,1,0,1,0,1,1,1,5
173,2,32,0,1,1,1,0,1,1,5
174,1,45,1,1,1,0,1,1,1,6
175,2,47,0,0,1,0,0,1,0,2
176,1,53,0,0,0,0,0,0,1,1
177,2,40,1,1,1,1,1,1,1,7
178,2,30,0,0,1,0,1,1,1,4
179,1,30,0,0,1,0,1,0,0,2
180,2,58,1,0,1,0,1,1,1,5
181,1,59,0,1,1,1,1,1,1,6
182,2,43,0,0,1,1,0,1,1,4
183,2,57,1,1,1,0,1,1,1,6
184,1,59,1,0,1,1,1,1,1,6
185,2,56,1,1,1,1,1,1,1,7
186,1,36,1,1,1,1,1,1,1,7
187,2,41,0,0,1,0,1,1,1,4
188,1,59,1,1,1,1,1,1,1,7
189,2,39,0,0,1,0,0,1,0,2
190,1,42,0,0,1,0,1,1,0,3
191,1,43,1,1,1,0,1,1,0,5
192,2,52,1,1,1,1,1,1,1,7
193,2,37,1,1,1,1,1,1,1,7
194,1,33,0,1,1,0,1,1,1,5
195,1,51,0,0,1,0,0,1,1,3
196,2,31,0,0,1,0,1,1,0,3
197,1,31,1,0,1,0,1,0,0,3
198,1,55,1,1,1,0,1,0,0,4
199,2,44,0,1,1,0,1,0,1,4
200,2,49,0,0,1,0,1,0,0,2
201,2,22,0,1,1,1,0,1,1,5
202,2,29,0,0,1,0,1,1,1,4
203,1,54,1,0,1,0,1,1,1,5
204,2,55,0,0,1,0,1,1,1,4
205,1,50,1,1,1,1,1,1,1,7
206,2,48,0,0,1,0,1,1,1,4
207,2,50,0,0,0,0,0,0,0,0
208,1,53,0,0,0,0,1,0,0,1
209,2,28,1,1,1,0,1,1,0,5
210,1,48,0,1,0,0,1,1,1,4
211,1,31,0,1,1,1,0,1,1,5
212,2,46,0,0,1,0,0,1,1,3
213,1,59,1,0,1,0,1,1,1,5
214,1,39,0,1,1,1,0,1,0,4
215,2,47,1,1,1,1,1,1,1,7
216,2,47,1,1,1,1,1,1,1,7
217,1,34,0,0,1,0,0,1,1,3
218,1,49,1,1,0,1,0,0,0,3
219,1,56,1,1,1,0,1,1,1,6
220,2,23,1,0,1,1,0,1,0,4
221,1,47,0,1,1,0,0,1,1,4
222,2,38,0,1,1,0,1,1,0,4
223,2,56,1,1,1,0,1,1,0,5
224,1,27,0,0,1,0,0,1,1,3
225,1,42,0,0,1,1,1,1,1,5
226,2,52,0,0,1,0,1,0,0,2
227,2,28,0,0,1,0,1,1,0,3
228,1,38,0,1,1,1,1,1,1,6
229,1,54,0,0,1,0,1,1,1,4
230,1,55,1,1,1,0,1,1,0,5
231,2,36,1,0,1,0,1,1,0,4
232,2,41,1,1,1,1,1,1,1,7
233,2,47,0,0,1,1,1,1,1,5
234,1,31,0,0,1,0,1,1,1,4
235,2,50,0,1,1,1,1,1,1,6
236,2,51,1,1,1,1,1,1,1,7
237,1,22,1,1,1,1,1,1,1,7
238,1,59,1,0,1,0,1,0,1,4
239,1,29,0,0,1,0,1,1,0,3
240,1,36,0,0,0,1,0,1,0,2
241,1,44,1,1,1,1,1,1,1,7
242,1,29,0,0,1,1,1,1,1,5
243,1,53,1,0,1,0,1,1,1,5
244,1,39,1,1,1,0,0,1,0,4
245,2,37,0,1,1,0,1,1,1,5
246,2,29,1,0,1,0,0,1,1,4
247,1,47,0,1,1,0,0,1,0,3
248,2,43,0,1,1,0,0,1,0,3
249,1,56,1,1,1,1,1,1,1,7
250,1,44,0,0,1,0,0,1,0,2
251,2,39,0,0,1,0,1,1,0,3
252,2,34,1,1,1,0,1,1,0,5
253,2,58,0,0,1,0,1,1,1,4
254,2,35,0,0,1,0,0,1,0,2
255,1,57,0,0,1,0,0,1,0,2
256,2,30,0,0,1,1,0,1,1,4
257,2,58,0,1,1,0,1,1,1,5
258,2,35,1,1,1,1,1,1,1,7
259,1,30,1,1,1,1,1,1,1,7
260,2,54,0,0,1,0,0,1,0,2
261,2,46,1,1,1,1,1,1,1,7
262,2,58,0,0,1,0,1,1,0,3
263,1,39,0,0,1,0,1,1,0,3
264,1,58,1,0,1,1,1,1,1,6
265,2,39,0,1,1,1,1,1,0,5
266,2,26,1,1,1,0,1,1,0,5
267,1,48,0,1,1,1,1,1,1,6
268,2,26,0,0,1,0,0,1,0,2
269,1,53,1,1,1,0,1,1,1,6
270,2,47,1,1,1,1,1,1,1,7
271,1,59,1,1,1,0,1,1,1,6
272,2,33,0,1,1,1,0,1,1,5
273,2,27,1,1,1,1,1,1,1,7
274,2,49,0,0,1,0,0,1,0,2
275,1,35,0,0,0,0,0,0,0,0
276,2,50,0,0,1,0,0,0,1,2
277,1,58,0,0,1,1,1,1,0,4
278,2,35,0,0,1,0,0,1,0,2
279,2,27,0,0,1,0,1,1,0,3
280,1,39,1,0,1,0,1,0,0,3
281,1,38,1,1,1,0,1,1,1,6
282,1,29,0,0,1,0,0,1,0,2
283,1,33,1,1,1,1,1,1,0,6
284,2,44,0,0,1,0,0,1,1,3
285,2,17,0,1,1,0,0,1,1,4
286,1,40,0,0,1,0,1,1,1,4
287,2,32,1,0,1,0,0,1,1,4
288,1,50,1,0,1,0,1,1,1,5
289,2,36,0,1,1,0,1,1,0,4
290,2,31,1,0,1,0,1,1,1,5
291,1,26,0,0,1,0,1,1,0,3
292,2,42,0,0,1,0,1,1,0,3
293,1,53,1,1,1,1,1,1,1,7
294,1,45,0,0,1,0,0,1,0,2
295,2,29,0,0,1,0,1,1,0,3
296,2,35,0,0,0,0,0,1,0,1
297,2,53,0,1,1,0,0,1,1,4
298,2,48,1,0,1,0,1,1,0,4
299,1,35,0,0,1,0,1,1,0,3
300,2,37,1,1,1,0,1,1,1,6
301,2,39,0,0,1,0,1,1,1,4
302,2,25,0,1,1,1,1,0,1,5
