rt,sub,cond
0.9879,2,1
0.792,2,1
0.95126,2,1
1.5264,2,1
1.8411,2,1
0.90046,2,1
1.3844,2,1
2.2557,2,1
0.9443,2,1
1.2033,2,1
2.4147,2,1
1.3793,2,1
1.3803,2,1
0.99718,2,1
2.7654,2,1
3.6547,2,1
15.342,2,1
24.205,2,1
2.0765,2,1
7.4646,2,1
7.1712,2,1
2.7172,2,1
1.0706,2,1
2.9794,2,1
1.1906,2,1
0.92716,2,1
2.7311,2,1
2.0291,2,1
4.5393,2,1
0.93133,2,1
1.4046,2,1
2.4821,2,1
2.7326,2,1
1.1573,2,1
1.2735,2,1
1.6795,2,1
0.87006,2,1
4.2577,2,1
2.0531,2,1
3.879,2,1
1.7051,2,1
3.083,2,1
2.6357,2,1
1.5671,2,1
1.7492,2,1
4.5925,2,1
1.6276,2,1
0.93235,2,1
0.81366,2,1
0.82512,2,1
1.7882,2,1
0.8547,2,1
0.90197,2,1
1.0008,2,1
1.11,2,1
1.2321,2,1
2.1967,2,1
1.1529,2,1
1.1328,2,1
1.1409,2,1
1.9136,2,1
3.5328,2,1
4.9568,2,1
1.5655,2,1
2.7371,2,1
5.8239,2,1
1.413,2,1
2.2826,2,1
3.1871,2,1
7.9127,2,1
1.9176,2,1
0.969,2,1
1.1491,2,1
1.079,2,1
0.91892,2,1
1.2159,2,1
1.0125,2,1
1.5328,2,1
1.1248,2,1
0.94373,2,1
0.96401,2,1
1.7466,2,1
1.3703,2,1
1.4553,2,1
0.87039,2,1
1.2178,2,1
13.288,2,1
4.7694,2,1
2.6275,2,1
2.1603,2,1
3.101,2,1
11.238,2,1
2.3508,2,1
1.2319,2,1
1.237,2,1
0.93842,2,1
1.02,2,1
1.3522,2,1
1.1093,2,1
1.4324,2,1
1.9859,2,1
0.99138,2,1
5.3145,2,1
1.8366,2,1
2.2837,2,1
1.3426,2,1
2.4114,2,1
5.4127,2,1
2.2162,2,1
1.416,2,1
3.7302,2,1
2.0535,2,1
2.5181,2,1
16.403,2,1
9.6166,2,1
5.3603,2,1
3.1301,2,1
6.2061,2,1
6.7055,2,2
1.2872,2,2
1.381,2,2
2.0396,2,2
1.2173,2,2
1.6253,2,2
1.8749,2,2
1.3259,2,2
2.7257,2,2
2.2851,2,2
2.3571,2,2
2.3098,2,2
2.0849,2,2
1.3096,2,2
17.628,2,2
1.6783,2,2
3.4918,2,2
2.1846,2,2
7.3141,2,2
2.9495,2,2
1.4892,2,2
11.611,2,2
1.9969,2,2
51.251,2,2
0.91358,2,2
1.1517,2,2
1.6866,2,2
1.8514,2,2
1.6022,2,2
0.87455,2,2
1.304,2,2
1.2001,2,2
2.8902,2,2
1.9992,2,2
5.135,2,2
1.1503,2,2
2.4735,2,2
1.5139,2,2
1.3754,2,2
6.4772,2,2
2.356,2,2
2.5802,2,2
1.5188,2,2
4.6768,2,2
7.5276,2,2
10.416,2,2
5.3036,2,2
8.679,2,2
1.6094,3,1
0.84666,3,1
1.2803,3,1
1.3226,3,1
0.95499,3,1
0.95899,3,1
1.0552,3,1
1.8067,3,1
1.7214,3,1
2.7775,3,1
3.61,3,1
1.3564,3,1
1.9441,3,1
0.85193,3,1
1.932,3,1
1.2996,3,1
1.9118,3,1
1.3052,3,1
1.1706,3,1
1.4346,3,1
12.239,3,1
1.363,3,1
1.99,3,1
3.3844,3,1
1.061,3,1
0.84231,3,1
0.95201,3,1
1.7811,3,1
1.0775,3,1
1.5015,3,1
1.0243,3,1
1.1802,3,1
1.1121,3,1
1.5448,3,1
4.3365,3,1
1.4025,3,1
1.9745,3,1
1.4957,3,1
1.0366,3,1
2.4487,3,1
1.0644,3,1
2.7183,3,1
1.0669,3,1
1.4107,3,1
4.9936,3,1
1.5279,3,1
2.4634,3,1
2.8989,3,1
0.93564,3,1
1.3784,3,1
1.2012,3,1
1.2564,3,1
1.1467,3,1
0.80832,3,1
1.0469,3,1
1.3054,3,1
3.1218,3,1
2.1552,3,1
0.89203,3,1
1.0241,3,1
2.6941,3,1
1.3523,3,1
1.006,3,1
1.2447,3,1
5.8583,3,1
1.2861,3,1
6.6625,3,1
1.585,3,1
2.4898,3,1
4.2759,3,1
1.7257,3,1
4.1887,3,1
1.2123,3,1
1.3388,3,1
0.77627,3,1
1.4702,3,1
1.2605,3,1
1.2274,3,1
0.95507,3,1
1.8227,3,1
1.5778,3,1
1.4557,3,1
1.3337,3,1
2.8613,3,1
1.3484,3,1
2.333,3,1
1.0862,3,1
1.8052,3,1
2.7578,3,1
6.6497,3,1
2.075,3,1
1.958,3,1
2.2098,3,1
1.1826,3,1
2.3478,3,1
2.976,3,1
1.5342,3,1
2.2686,3,1
0.85718,3,1
1.1949,3,1
0.95634,3,1
1.0219,3,1
0.98883,3,1
0.98268,3,1
1.6262,3,1
2.5436,3,1
1.8519,3,1
1.3402,3,1
1.193,3,1
0.74947,3,1
2.3332,3,1
1.838,3,1
2.9223,3,1
1.375,3,1
3.2377,3,1
1.9989,3,1
2.3764,3,1
2.4827,3,1
3.5369,3,1
4.4158,3,1
1.1193,3,1
0.99745,3,1
1.3666,3,1
1.1182,3,1
1.4179,3,1
1.3537,3,1
0.94617,3,1
1.2705,3,1
1.283,3,1
1.8443,3,1
1.8783,3,1
1.607,3,1
1.4639,3,1
1.5974,3,1
1.2853,3,1
1.1401,3,1
2.567,3,1
4.9728,3,1
11.827,3,1
3.7807,3,1
1.244,3,1
1.2063,3,1
